index,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,q
0,0,0,0,100,110,653,642,564.555700864217,342.796147409967,563.939439566049,466.384503462934,-0.00997272251705591
1,0.02996826171875,0,0,101,110,651,642,564.555700864217,342.796147409967,563.939439566049,466.384503462934,-0.00997272251705591
2,0.05999755859375,160,0,102,109,654,644,564.628318825781,342.831945098584,564.059040873247,466.327652021238,-0.00921933133571389
3,0.0899658203125,160,0,106,113,651,642,564.555700864217,342.796147409967,564.835351101788,466.688622368914,0.00451439464309888
4,0.12994384765625,160,0,112,118,649,640,564.628318825781,342.831945098584,570.074008687246,468.184492936645,0.0868313880735269
5,0.15997314453125,160,0,117,122,637,634,564.628318825781,342.831945098584,570.074008687246,468.184492936645,0.0868313880735269
6,0.18994140625,160,0,124,125,596,606,564.628318825781,342.831945098584,591.569959542521,469.52975237248,0.419048029043912
7,0.219970703125,160,0,127,129,574,582,564.555700864217,342.796147409967,594.95699865856,469.826906397042,0.469808248820783
8,0.25,160,0,130,132,567,568,564.628318825781,342.831945098584,594.384291626233,470.062978849713,0.459488380061159
9,0.27996826171875,160,0,133,135,562,559,564.61615732851,342.756607244337,595.865659635258,469.907920575928,0.481980022496016
10,0.30999755859375,160,0,136,137,551,549,564.61615732851,342.756607244337,602.600550819136,469.145724284626,0.58389567917599
11,0.3399658203125,160,0,137,139,539,537,564.693591155313,342.783111566975,608.188414099136,467.832935474009,0.669462717452704
12,0.37994384765625,160,0,139,141,530,529,564.693591155313,342.783111566975,608.188414099136,467.832935474009,0.669462717452704
13,0.40997314453125,160,0,141,144,530,524,564.543505320355,342.720776096478,607.682744323462,468.295916005498,0.661804482242535
14,0.43994140625,160,0,142,146,533,525,564.543505320355,342.720776096478,607.749020883042,468.347563972598,0.662495505198348
15,0.469970703125,160,0,143,147,532,524,564.543505320355,342.720776096478,607.749020883042,468.347563972598,0.662495505198348
16,0.5,160,0,143,146,523,519,564.543505320355,342.720776096478,607.749020883042,468.347563972598,0.662495505198348
