,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,21.0,46.0,612.0,3.0,500.1094362183956,213.04401059708425,509.0958446383629,374.56423081633363
1,0.030029296875,0.0,0.0,25.0,46.0,612.0,1.0,500.1328920845851,213.10235320372396,509.0958446383629,374.56423081633363
2,0.050048828125,120.0,0.0,18.0,45.0,613.0,1.0,500.1158362831166,213.05756819004824,509.0841516044398,374.610542511603
3,0.08001708984375,120.0,0.0,26.0,46.0,614.0,1.0,500.1047158527467,213.0963107132634,509.0777685228119,374.57510981608306
4,0.11004638671875,120.0,0.0,20.0,46.0,613.0,5.0,500.1047158527467,213.0963107132634,509.0777685228119,374.57510981608306
5,0.1300048828125,120.0,0.0,11.0,46.0,610.0,0.0,500.1047158527467,213.0963107132634,509.0777685228119,374.57510981608306
6,0.1600341796875,120.0,0.0,20.0,46.0,610.0,0.0,500.0957173849963,213.04789861728682,510.11122403063615,374.7789493708581
7,0.19000244140625,120.0,0.0,31.0,46.0,607.0,2.0,500.1233618471455,212.91190286144922,511.17440718054667,375.20067208326867
8,0.22003173828125,120.0,0.0,22.0,45.0,602.0,1.0,500.1158362831166,213.05756819004824,513.5349151277646,375.5877535829934
9,0.239990234375,120.0,0.0,17.0,46.0,596.0,4.0,500.1324666161022,213.04451611607286,516.1112840850453,376.0882603678471
10,0.27001953125,120.0,0.0,15.0,46.0,594.0,0.0,500.1324666161022,213.04451611607286,516.1112840850453,376.0882603678471
11,0.300048828125,120.0,0.0,37.0,46.0,593.0,2.0,500.1126133231359,213.0089961729055,518.4667851790944,376.465524038389
12,0.32000732421875,120.0,0.0,21.0,46.0,590.0,1.0,500.1094362183956,213.04401059708425,520.7740491224102,376.6666388846672
13,0.35003662109375,120.0,0.0,14.0,45.0,584.0,2.0,500.1919751795796,213.06730421073883,521.2543520417555,376.88557685847496
14,0.3800048828125,120.0,0.0,21.0,46.0,582.0,1.0,500.18379945858965,213.07078311093574,521.8921167186842,377.03206531671503
15,0.4000244140625,120.0,0.0,21.0,46.0,580.0,0.0,500.18072062601146,213.1061327580672,521.2627716713512,376.9418224202483
16,0.42999267578125,120.0,0.0,23.0,47.0,577.0,0.0,500.18072062601146,213.1061327580672,521.2627716713512,376.9418224202483
17,0.46002197265625,120.0,0.0,19.0,46.0,573.0,1.0,500.1514627103842,212.96411778718104,521.2719446498281,377.041172470182
18,0.489990234375,120.0,0.0,17.0,46.0,573.0,0.0,500.18072062601146,213.1061327580672,521.7074017483345,377.33760597880325
19,0.510009765625,120.0,0.0,26.0,47.0,573.0,0.0,500.2003024985494,213.0189649661723,523.0446997458015,377.2637652546534
20,0.5400390625,120.0,0.0,23.0,46.0,566.0,2.0,500.18379945858965,213.07078311093574,524.1516694401149,377.3266177816898
21,0.57000732421875,120.0,0.0,18.0,46.0,564.0,0.0,500.18379945858965,213.07078311093574,524.1516694401149,377.3266177816898
22,0.59002685546875,120.0,0.0,39.0,46.0,564.0,1.0,500.17491880534317,213.02251515073948,525.7613221389512,377.1428175779656
23,0.6199951171875,120.0,0.0,23.0,46.0,561.0,2.0,500.1685178309124,213.00895663130402,526.7977461395286,377.36996325798
24,0.6500244140625,120.0,0.0,26.0,46.0,558.0,1.0,500.17194630917277,213.0132209566143,527.3203519890072,377.3783204872648
25,0.6700439453125,120.0,0.0,21.0,46.0,557.0,0.0,500.1596504269771,212.91520175742286,527.0820494155146,377.5012153080639
26,0.70001220703125,120.0,0.0,32.0,46.0,553.0,0.0,500.1596504269771,212.91520175742286,527.0820494155146,377.5012153080639
27,0.73004150390625,120.0,0.0,26.0,46.0,556.0,0.0,500.162091115773,212.86669439351365,526.2166609058951,377.3993528187115
28,0.75,120.0,0.0,16.0,46.0,554.0,3.0,500.1722576231154,212.9545883072391,525.6982536838126,377.4436079804167
29,0.780029296875,120.0,0.0,17.0,46.0,555.0,0.0,500.1685178309124,213.00895663130402,525.6801679454355,377.4516243734347
30,0.80999755859375,120.0,0.0,37.0,46.0,549.0,1.0,500.1094175199265,213.01819844491652,525.910127863256,377.5526425244124
31,0.84002685546875,120.0,0.0,20.0,46.0,553.0,2.0,500.1094175199265,213.01819844491652,525.910127863256,377.5526425244124
32,0.86004638671875,120.0,0.0,17.0,46.0,553.0,0.0,500.1514627103842,212.96411778718104,526.7573274126154,377.54323966731323
33,0.8900146484375,120.0,0.0,20.0,47.0,550.0,3.0,500.11696445020766,213.0926749729324,528.2502927570288,377.3830171268119
34,0.9200439453125,120.0,0.0,31.0,46.0,554.0,1.0,500.11696445020766,213.0926749729324,528.2502927570288,377.3830171268119
35,0.94000244140625,120.0,0.0,25.0,46.0,551.0,1.0,500.1049474189754,213.07960097651537,528.3752625851301,377.345129827722
36,0.97003173828125,120.0,0.0,16.0,46.0,551.0,0.0,500.1339629875947,213.13746738246,528.0438410139334,377.3569591034495
37,1.0,120.0,0.0,19.0,46.0,548.0,1.0,500.1339629875947,213.13746738246,528.0438410139334,377.3569591034495
38,1.030029296875,120.0,0.0,36.0,47.0,549.0,1.0,500.1138960235604,213.12801113783263,527.649232429707,377.5135985568054
39,1.050048828125,120.0,0.0,20.0,46.0,549.0,0.0,500.1157425477312,212.98208201303126,526.7411632028704,377.58435358999435
40,1.08001708984375,120.0,0.0,19.0,46.0,551.0,2.0,500.12194898726364,213.04062714090125,526.5911650199678,377.5143256130123
