,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,20.0,51.0,0.0,0.0,562.3445118829746,252.60099739707366,578.9043669567956,424.45766612838196
1,0.029998779296875,0.0,0.0,24.0,51.0,0.0,1.0,562.3445118829746,252.60099739707366,578.9043669567956,424.45766612838196
2,0.050018310546875,50.0,50.0,21.0,52.0,0.0,0.0,562.4087268489554,252.71369024345077,578.832434375592,424.4413620619338
3,0.07000732421875,50.0,50.0,18.0,51.0,2.0,0.0,562.4087268489554,252.71369024345077,578.832434375592,424.4413620619338
4,0.100006103515625,50.0,50.0,22.0,51.0,1.0,0.0,562.3935302063163,252.76846262620484,578.918420918839,424.47882837082193
5,0.1199951171875,50.0,50.0,22.0,50.0,1.0,2.0,562.3889585206902,252.64371269830508,579.0409606453215,424.7308694525173
6,0.1500244140625,50.0,50.0,22.0,51.0,2.0,0.0,562.4314645922683,252.8126250737752,579.3083345287387,424.86402523784193
7,0.180023193359375,50.0,50.0,19.0,51.0,0.0,0.0,562.4554943695418,252.77442819101114,579.8638980237572,424.8221686320551
8,0.20001220703125,50.0,50.0,25.0,51.0,0.0,0.0,562.4554943695418,252.77442819101114,579.8638980237572,424.8221686320551
9,0.220001220703125,50.0,50.0,23.0,51.0,2.0,1.0,562.4554943695418,252.77442819101114,579.8638980237572,424.8221686320551
10,0.25,50.0,50.0,24.0,51.0,3.0,1.0,562.4445454633131,252.66759566911657,581.5255002387935,424.9183212850858
11,0.27001953125,50.0,50.0,21.0,51.0,0.0,1.0,562.4314645922683,252.8126250737752,581.898519314472,424.9767879523886
12,0.300018310546875,50.0,50.0,26.0,51.0,2.0,1.0,562.4314645922683,252.8126250737752,581.898519314472,424.9767879523886
13,0.32000732421875,50.0,50.0,24.0,51.0,0.0,0.0,562.3355633341843,252.64361288610888,582.1248566032262,425.10854180619856
14,0.350006103515625,50.0,50.0,24.0,51.0,0.0,2.0,562.4357588300115,252.80854304839477,582.1452703641407,425.11863432317574
15,0.3699951171875,50.0,50.0,23.0,51.0,0.0,0.0,562.3445118829746,252.60099739707366,582.1248566032262,425.10854180619856
16,0.4000244140625,50.0,50.0,25.0,51.0,3.0,1.0,562.3445118829746,252.60099739707366,582.1248566032262,425.10854180619856
17,0.420013427734375,50.0,50.0,24.0,51.0,0.0,2.0,562.3542416174591,252.69895631191088,582.0673932404688,425.0687293645326
