,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,21.0,46.0,614.0,3.0,500.26007432433045,213.19537856170504,509.1960612847713,374.64154805857606
1,0.02001953125,0.0,0.0,22.0,46.0,617.0,3.0,500.19540392235484,213.16484637222715,509.1845051515932,374.6884415926984
2,0.04998779296875,140.0,0.0,22.0,48.0,617.0,1.0,500.1928175702982,213.16805092786853,509.1960612847713,374.64154805857606
3,0.07000732421875,140.0,0.0,10.0,46.0,614.0,0.0,500.17580619286184,213.1232414246769,509.1845051515932,374.6884415926984
4,0.0999755859375,140.0,0.0,18.0,46.0,616.0,3.0,500.17580619286184,213.1232414246769,509.1845051515932,374.6884415926984
5,0.1300048828125,140.0,0.0,30.0,46.0,611.0,1.0,500.2406375708111,213.2460613556101,510.9891428177982,375.4279930733375
6,0.1500244140625,140.0,0.0,23.0,46.0,609.0,0.0,500.2406375708111,213.2460613556101,510.9891428177982,375.4279930733375
7,0.17999267578125,140.0,0.0,17.0,46.0,605.0,2.0,500.2406375708111,213.2460613556101,512.5770322627695,376.0053543886396
8,0.21002197265625,140.0,0.0,16.0,48.0,602.0,0.0,500.20357876851784,213.19171098201258,515.2654716399207,376.1986107306729
9,0.22998046875,140.0,0.0,36.0,46.0,599.0,0.0,500.20357876851784,213.19171098201258,515.2654716399207,376.1986107306729
10,0.260009765625,140.0,0.0,21.0,46.0,595.0,3.0,500.2406375708111,213.2460613556101,518.48594514328,376.69643888369603
11,0.28997802734375,140.0,0.0,16.0,46.0,591.0,1.0,500.2406375708111,213.2460613556101,521.008501446187,376.9729418145396
12,0.32000732421875,140.0,0.0,22.0,46.0,588.0,1.0,500.2406375708111,213.2460613556101,523.0529690809384,377.2219828743554
13,0.34002685546875,140.0,0.0,30.0,45.0,582.0,1.0,500.2406375708111,213.2460613556101,523.600429818108,377.1281952586732
14,0.3699951171875,140.0,0.0,22.0,46.0,579.0,0.0,500.2611613937809,213.23626568504082,523.6648276744203,377.3111859164351
15,0.4000244140625,140.0,0.0,20.0,46.0,575.0,1.0,500.2611613937809,213.23626568504082,523.6648276744203,377.3111859164351
16,0.41998291015625,140.0,0.0,15.0,46.0,571.0,2.0,500.2406375708111,213.2460613556101,523.4727099014466,377.46832852071225
17,0.45001220703125,140.0,0.0,38.0,46.0,570.0,5.0,500.3079493595644,213.27341550838298,523.4962139017705,377.67685924594576
18,0.47998046875,140.0,0.0,20.0,46.0,568.0,1.0,500.2994231304099,213.22556749747912,524.0533151858981,377.6809054871418
19,0.510009765625,140.0,0.0,17.0,46.0,562.0,1.0,500.2406375708111,213.2460613556101,525.7560817909584,377.63407552530543
20,0.530029296875,140.0,0.0,22.0,46.0,564.0,4.0,500.2406375708111,213.2460613556101,525.7560817909584,377.63407552530543
21,0.55999755859375,140.0,0.0,32.0,46.0,560.0,2.0,500.220537864973,213.23659298740853,527.4933695100403,377.7755509842661
22,0.59002685546875,140.0,0.0,23.0,45.0,557.0,0.0,500.22359892517306,213.20123700195114,528.9679267946179,377.7626705386058
23,0.6099853515625,140.0,0.0,18.0,46.0,553.0,2.0,500.22359892517306,213.20123700195114,528.9679267946179,377.7626705386058
24,0.6400146484375,140.0,0.0,18.0,46.0,551.0,1.0,500.22359892517306,213.20123700195114,528.9679267946179,377.7626705386058
25,0.66998291015625,140.0,0.0,37.0,46.0,552.0,1.0,500.23898911334555,213.22993732183497,529.3710811276034,377.7707439723598
26,0.69000244140625,140.0,0.0,22.0,48.0,547.0,3.0,500.23898911334555,213.22993732183497,529.3710811276034,377.7707439723598
27,0.72003173828125,140.0,0.0,15.0,46.0,550.0,1.0,500.218694402737,213.13651348385653,528.6011754877003,378.0477567499735
28,0.75,140.0,0.0,21.0,46.0,548.0,2.0,500.1952198982039,213.07813574332354,528.3818152217839,378.1049069419156
29,0.780029296875,140.0,0.0,32.0,46.0,549.0,0.0,500.2948659211368,213.21216570508165,528.5883134011124,378.0640802443222
30,0.79998779296875,140.0,0.0,24.0,47.0,547.0,4.0,500.2948659211368,213.21216570508165,528.5883134011124,378.0640802443222
31,0.83001708984375,140.0,0.0,18.0,46.0,546.0,0.0,500.23898911334555,213.22993732183497,529.3136722653858,377.86640710168854
32,0.8599853515625,140.0,0.0,15.0,46.0,545.0,3.0,500.2275477304961,213.18482358913653,530.6283135813185,378.022728581341
33,0.8800048828125,140.0,0.0,38.0,46.0,543.0,1.0,500.218694402737,213.13651348385653,531.4281974810909,377.858921158096
34,0.90997314453125,140.0,0.0,18.0,45.0,545.0,0.0,500.2948659211368,213.21216570508165,531.9008802080597,377.78117992550034
35,0.94000244140625,140.0,0.0,20.0,46.0,544.0,2.0,500.2948659211368,213.21216570508165,531.9008802080597,377.78117992550034
36,0.97003173828125,140.0,0.0,23.0,46.0,541.0,2.0,500.2948659211368,213.21216570508165,531.8043599002947,377.79818306176105
37,0.989990234375,140.0,0.0,25.0,46.0,542.0,0.0,500.23898911334555,213.22993732183497,531.125722378275,378.0768640249546
38,1.02001953125,140.0,0.0,26.0,46.0,543.0,3.0,500.2275477304961,213.18482358913653,530.6586953518537,378.13200371446857
39,1.04998779296875,140.0,0.0,20.0,46.0,542.0,0.0,500.2301361278337,213.18161762142677,529.9711739912516,377.98944514645837
40,1.07000732421875,140.0,0.0,20.0,47.0,542.0,1.0,500.2275477304961,213.18482358913653,530.2413884577577,378.02476510681805
