,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y
0,0.0,0.0,0.0,23.0,51.0,0.0,0.0,562.0436838983787,252.65608053903603,578.6370998611726,424.3158433576687
1,0.01999664306640625,0.0,0.0,20.0,51.0,3.0,0.0,562.0937300367752,252.75183234797598,578.7724150563855,424.41533225107094
2,0.04999542236328125,200.0,200.0,21.0,51.0,1.0,0.0,562.0937300367752,252.75183234797598,578.7724150563855,424.41533225107094
3,0.06999969482421875,200.0,200.0,18.0,50.0,2.0,1.0,562.0937300367752,252.75183234797598,578.7724150563855,424.41533225107094
4,0.09999847412109375,200.0,200.0,24.0,51.0,1.0,0.0,562.290615495107,252.72182242180065,579.2340125022964,425.1119951521583
5,0.1199951171875,200.0,200.0,26.0,51.0,0.0,0.0,562.2908239008298,252.82482111667608,581.0483684880344,425.2886328635065
6,0.149993896484375,200.0,200.0,22.0,51.0,2.0,0.0,562.1929535261271,252.64059876796466,584.047458518901,426.0208718458046
7,0.18000030517578125,200.0,200.0,26.0,52.0,0.0,0.0,562.1929535261271,252.64059876796466,584.047458518901,426.0208718458046
8,0.1999969482421875,200.0,200.0,22.0,49.0,0.0,2.0,562.169655381277,252.64441217301666,587.946625199134,426.4817102121327
9,0.2299957275390625,200.0,200.0,28.0,52.0,0.0,0.0,562.1700284893395,252.65750313525524,592.6663845127893,426.8296779900975
10,0.2599945068359375,200.0,200.0,25.0,50.0,3.0,2.0,562.1700284893395,252.65750313525524,592.6663845127893,426.8296779900975
11,0.29000091552734375,200.0,200.0,22.0,51.0,0.0,0.0,562.1700284893395,252.65750313525524,592.6663845127893,426.8296779900975
12,0.30999755859375,200.0,200.0,24.0,51.0,1.0,1.0,562.2868631167814,252.80527798272,602.2548653192059,427.288289803062
13,0.339996337890625,200.0,200.0,25.0,51.0,2.0,0.0,562.2868631167814,252.80527798272,602.2548653192059,427.288289803062
14,0.3699951171875,200.0,200.0,23.0,51.0,2.0,1.0,562.130028123519,252.69141444550363,602.4629992935743,427.2083655939973
15,0.3899993896484375,200.0,200.0,26.0,51.0,1.0,1.0,562.1263380687492,252.76807598572046,602.3086404768353,427.3718118635206
16,0.4199981689453125,200.0,200.0,22.0,51.0,2.0,0.0,562.3290108140407,252.76715157788126,601.5030377415355,427.6169822873439
17,0.4499969482421875,200.0,200.0,30.0,51.0,1.0,0.0,562.3290108140407,252.76715157788126,601.7205048775335,427.64303686518775
18,0.4799957275390625,200.0,200.0,25.0,51.0,2.0,0.0,562.3290108140407,252.76715157788126,601.7205048775335,427.64303686518775
19,0.5,200.0,200.0,23.0,51.0,2.0,0.0,562.1760446019063,252.75657761787016,602.5143118170255,427.61862840127577
20,0.529998779296875,200.0,200.0,27.0,51.0,1.0,1.0,562.1763578413551,252.75284278023895,604.4951521993478,427.4594887607116
21,0.55999755859375,200.0,200.0,27.0,50.0,0.0,0.0,562.1763578413551,252.75284278023895,604.4951521993478,427.4594887607116
22,0.5799942016601562,200.0,200.0,24.0,52.0,3.0,0.0,562.2885559452088,252.75571005668016,608.7290818948632,426.9777691304359
23,0.6100006103515625,200.0,200.0,25.0,52.0,3.0,1.0,562.2885559452088,252.75571005668016,608.7290818948632,426.9777691304359
24,0.6399993896484375,200.0,200.0,23.0,51.0,0.0,0.0,562.2083436104272,252.70281704985865,610.4460826721081,426.972173940383
25,0.6699981689453125,200.0,200.0,28.0,52.0,0.0,1.0,562.1743775645987,252.75846932260367,610.6557880616151,426.94706264698215
26,0.6899948120117188,200.0,200.0,25.0,52.0,2.0,0.0,562.1743775645987,252.75846932260367,610.6557880616151,426.94706264698215
27,0.720001220703125,200.0,200.0,25.0,52.0,0.0,1.0,562.1759287914075,252.86290421585758,608.7380419215624,427.2341613716561
28,0.75,200.0,200.0,28.0,52.0,1.0,1.0,562.1759287914075,252.86290421585758,608.7380419215624,427.2341613716561
29,0.7699966430664062,200.0,200.0,23.0,51.0,0.0,0.0,562.2083436104272,252.70281704985865,607.724892894701,427.24561188967596
30,0.7999954223632812,200.0,200.0,24.0,51.0,1.0,0.0,562.0656838642126,252.57462184333573,606.9209471268479,427.3358961195082
31,0.8299942016601562,200.0,200.0,26.0,51.0,2.0,0.0,562.3398453479862,252.63087929192244,607.1932806554878,427.24112596215724
32,0.8499984741210938,200.0,200.0,23.0,51.0,0.0,0.0,562.3398453479862,252.63087929192244,607.1932806554878,427.24112596215724
33,0.8799972534179688,200.0,200.0,24.0,51.0,1.0,0.0,562.312951868623,252.74331690461344,609.8803761177862,426.9354011770858
34,0.9099960327148438,200.0,200.0,23.0,51.0,0.0,1.0,562.312951868623,252.74331690461344,609.8803761177862,426.9354011770858
35,0.9399948120117188,200.0,200.0,22.0,50.0,5.0,1.0,562.312951868623,252.74331690461344,609.8803761177862,426.9354011770858
36,0.9599990844726562,200.0,200.0,26.0,51.0,3.0,0.0,562.312951868623,252.74331690461344,612.188902854289,426.5397604960637
37,0.9899978637695312,200.0,200.0,23.0,52.0,2.0,0.0,562.113805841227,252.5646393917916,612.1140494979115,426.4687083028147
38,1.0199966430664062,200.0,200.0,25.0,51.0,2.0,0.0,562.1698670121161,252.5160538179694,611.4623288087178,426.7977554998154
39,1.0400009155273438,200.0,200.0,25.0,52.0,2.0,0.0,562.1698670121161,252.5160538179694,611.4623288087178,426.7977554998154
40,1.0699996948242188,200.0,200.0,23.0,51.0,2.0,0.0,562.113805841227,252.5646393917916,610.4160450994539,426.8455792938401
