index,time,left_pwm,right_pwm,left_pressure,right_pressure,left_flex,right_flex,base_pos_x,base_pos_y,tip_pos_x,tip_pos_y,q
0,0,0,0,101,110,651,642,564.612832896118,342.825608213292,564.422122006192,466.497380535554,-0.0030841433768755
1,0.030029296875,0,0,100,110,653,642,564.612832896118,342.825608213292,564.422122006192,466.497380535554,-0.0030841433768755
2,0.05999755859375,0,0,100,109,651,643,564.612832896118,342.825608213292,564.422122006192,466.497380535554,-0.0030841433768755
3,0.09002685546875,80,0,101,109,652,642,564.612832896118,342.825608213292,564.422122006192,466.497380535554,-0.0030841433768755
4,0.1199951171875,80,0,103,111,651,642,564.284940527956,342.604698104389,564.522650073112,466.518033995675,0.00383670170528113
5,0.1500244140625,80,0,106,113,646,642,564.357407513702,342.640422777421,568.259832463748,467.520692551369,0.0624783311980188
6,0.17999267578125,80,0,109,116,647,638,564.357407513702,342.640422777421,574.615207332396,468.590626915216,0.162527876695208
7,0.21002197265625,80,0,112,117,645,636,564.357407513702,342.640422777421,574.615207332396,468.590626915216,0.162527876695208
8,0.239990234375,80,0,114,119,637,628,564.357407513702,342.640422777421,579.22947975721,469.35112888213,0.233671489576531
9,0.27001953125,80,0,117,122,627,621,564.357407513702,342.640422777421,580.084645337206,469.420913678306,0.24684083379037
10,0.29998779296875,80,0,118,124,622,614,564.263848327209,342.592296971454,579.988903484774,469.54537115664,0.246474796700143
11,0.33001708984375,80,0,119,124,616,610,564.357407513702,342.640422777421,582.110609422386,469.740511704827,0.277562020393244
12,0.3599853515625,80,0,120,125,609,605,564.357407513702,342.640422777421,582.110609422386,469.740511704827,0.277562020393244
13,0.3900146484375,80,0,122,127,602,598,564.284940527956,342.604698104389,587.558857430535,469.9111426852,0.361642417665128
14,0.41998291015625,80,0,123,128,600,593,564.284940527956,342.604698104389,587.364722538544,470.026033676428,0.358373842085366
15,0.45001220703125,80,0,123,129,597,590,564.357407513702,342.640422777421,586.744474424778,470.046799293885,0.347876470849608
16,0.48004150390625,80,0,124,129,597,589,564.357407513702,342.640422777421,587.213870249971,470.112760819709,0.354839870647594
17,0.510009765625,80,0,124,129,592,587,564.357407513702,342.640422777421,589.553611664414,469.998430150482,0.390630958813525
18,0.5400390625,80,0,124,130,593,583,564.357407513702,342.640422777421,589.553611664414,469.998430150482,0.390630958813525
19,0.57000732421875,80,0,124,131,587,580,564.357407513702,342.640422777421,589.553611664414,469.998430150482,0.390630958813525
20,0.60003662109375,80,0,126,131,588,580,564.410343708105,342.759534111369,589.592333444859,470.269566735758,0.389962379085158
21,0.6300048828125,80,0,124,130,586,579,564.410343708105,342.759534111369,589.592333444859,470.269566735758,0.389962379085158
22,0.6600341796875,80,0,125,131,587,579,564.410343708105,342.759534111369,589.858340395399,470.332921405363,0.393785854138028
23,0.69000244140625,80,0,125,131,587,578,564.410343708105,342.759534111369,589.858340395399,470.332921405363,0.393785854138028
24,0.72003173828125,80,0,125,130,585,577,564.482890419055,342.795319650031,592.450898432051,470.08178544001,0.432575810638548
25,0.75,80,0,125,131,583,576,564.482890419055,342.795319650031,592.450898432051,470.08178544001,0.432575810638548
26,0.780029296875,80,0,126,131,586,576,564.482890419055,342.795319650031,590.252156432477,470.34770630624,0.398691288288855
27,0.80999755859375,80,0,126,131,582,577,564.482890419055,342.795319650031,590.252156432477,470.34770630624,0.398691288288855
28,0.84002685546875,80,0,125,131,582,575,564.410343708105,342.759534111369,592.201693516357,470.16257052034,0.429545741062786
29,0.8699951171875,80,0,125,132,579,574,564.410343708105,342.759534111369,592.201693516357,470.16257052034,0.429545741062786
30,0.9000244140625,80,0,126,132,580,571,564.482890419055,342.795319650031,592.579496910522,470.065288229463,0.434557522602878
31,0.92999267578125,80,0,126,132,580,572,564.482890419055,342.795319650031,592.579496910522,470.065288229463,0.434557522602878
32,0.96002197265625,80,0,125,131,582,572,564.410343708105,342.759534111369,590.534183977769,470.32505145986,0.40398957110498
33,0.989990234375,80,0,126,131,583,574,564.482890419055,342.795319650031,591.002240091078,470.240255405348,0.410314300116485
34,1.02001953125,80,0,126,132,579,574,564.410343708105,342.759534111369,592.496956477097,470.136122334409,0.434055468221452
35,1.04998779296875,80,0,126,131,577,572,564.482890419055,342.795319650031,592.733030651709,470.220112405212,0.436343440281916
36,1.08001708984375,80,0,124,131,579,572,564.410343708105,342.759534111369,592.309037804481,470.184447631749,0.431082278384977
37,1.1099853515625,80,0,126,132,579,571,564.410343708105,342.759534111369,592.309037804481,470.184447631749,0.431082278384977
38,1.1400146484375,80,0,127,132,582,573,564.410343708105,342.759534111369,592.309037804481,470.184447631749,0.431082278384977
39,1.16998291015625,80,0,125,131,580,572,564.410343708105,342.759534111369,592.309037804481,470.184447631749,0.431082278384977
40,1.20001220703125,80,0,126,131,577,570,564.437822606643,342.768688386548,592.442895574972,469.956613997084,0.433456508029359
41,1.23004150390625,80,0,126,132,579,569,564.437822606643,342.768688386548,592.442895574972,469.956613997084,0.433456508029359
42,1.260009765625,80,0,127,132,578,567,564.437822606643,342.768688386548,592.162472534228,470.055583331558,0.42892527083064
43,1.2900390625,80,0,125,131,580,568,564.437822606643,342.768688386548,592.162472534228,470.055583331558,0.42892527083064
44,1.32000732421875,80,0,126,132,581,569,564.360569098174,342.742232091535,591.664889608562,470.137251226871,0.422267537027014
45,1.35003662109375,80,0,126,132,577,570,564.437822606643,342.768688386548,592.428703567656,470.086358224259,0.432815817913909
46,1.3800048828125,80,0,125,131,579,569,564.360569098174,342.742232091535,592.476401813559,470.077595351282,0.43462925182461
